id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3781,HARBORSIDE-Walk to subway,4804,Frank,,East Boston,42.36413,-71.02991,Entire home/apt,,29,26,2024-08-09,0.23,1,292,1,
5506,** Fort Hill Inn Private! Minutes to center!**,8229,Terry,,Roxbury,42.32844,-71.09581,Entire home/apt,112,3,132,2024-10-19,0.69,10,148,10,STR-490093
6695,"Fort Hill Inn *Sunny* 1 bedroom, condo duplex",8229,Terry,,Roxbury,42.32802,-71.09387,Entire home/apt,122,3,135,2024-11-11,0.72,10,148,8,STR-491702
8789,Curved Glass Studio/1bd facing Park,26988,Anne,,Beacon Hill,42.35867,-71.06307,Entire home/apt,125,91,29,2024-05-15,0.23,4,233,1,
10811,"Back Bay Apt Studio-3 blocks to Pru center & ""T""",38997,Michelle,,Back Bay,42.35173,-71.08685,Entire home/apt,110,91,9,2019-07-22,0.08,13,273,0,
10813,A Brownstone -close to subway-colleges-Newbury St-,38997,Michelle,,Back Bay,42.35061,-71.08787,Entire home/apt,100,32,5,2023-11-19,0.07,13,173,0,
10986,North End (Waterfront area)  CLOSE TO MGH & SUBWAY,38997,Michelle,,North End,42.36377,-71.05206,Entire home/apt,,32,1,2024-01-05,0.09,13,364,1,
18711,230B1 | The Dorset Redline | 3BR 1BA w/AC | Privat,71783,Lance,,Dorchester,42.32212,-71.06096,Entire home/apt,143,30,52,2023-08-19,0.29,38,123,0,
29765,Moroccan Decor Suite,128280,Elizabeth,,Charlestown,42.37754,-71.06642,Entire home/apt,243,2,103,2024-10-27,0.58,1,3,2,STR-454024
40601,Private room & bath - Jamaica Plain,174986,Robert,,Jamaica Plain,42.31347,-71.11082,Private room,100,29,102,2024-12-11,0.59,1,354,4,STR-551851
45987,Garden Studio,205107,Atef,,Charlestown,42.37424,-71.06081,Entire home/apt,100,29,141,2024-11-14,0.81,1,90,4,STR-409822
